group,repeat,event,raw_event_count,event_count_per_token,elapsed_s_for_3_tokens,seconds_per_token,steady_tokens_per_s,running_ratio,max_temp_c
core,1,cpu_cycles,37608829917,12536276639.0,2.610772525,0.8702575083333333,1.149085173554138,1.0,65.224
core,1,instructions,45488694360,15162898120.0,2.610772525,0.8702575083333333,1.149085173554138,1.0,65.224
core,1,stall_backend,11133983170,3711327723.3333335,2.610772525,0.8702575083333333,1.149085173554138,1.0,65.224
core,2,cpu_cycles,46779914804,15593304934.666666,3.491946852,1.163982284,0.8591196049509634,1.0,65.224
core,2,instructions,59220169263,19740056421.0,3.491946852,1.163982284,0.8591196049509634,1.0,65.224
core,2,stall_backend,13117281137,4372427045.666667,3.491946852,1.163982284,0.8591196049509634,1.0,65.224
core,3,cpu_cycles,37182450087,12394150029.0,2.574945735,0.858315245,1.165073096190899,1.0,67.083
core,3,instructions,44974154950,14991384983.333334,2.574945735,0.858315245,1.165073096190899,1.0,67.083
core,3,stall_backend,10922378054,3640792684.6666665,2.574945735,0.858315245,1.165073096190899,1.0,67.083
core,4,cpu_cycles,42821591695,14273863898.333334,3.108926081,1.0363086936666666,0.9649634381255654,1.0,66.847
core,4,instructions,53307699279,17769233093.0,3.108926081,1.0363086936666666,0.9649634381255654,1.0,66.847
core,4,stall_backend,12236783077,4078927692.3333335,3.108926081,1.0363086936666666,0.9649634381255654,1.0,66.847
core,5,cpu_cycles,45188707245,15062902415.0,3.362212859,1.1207376196666667,0.8922695039874036,1.0,66.67
core,5,instructions,57522049227,19174016409.0,3.362212859,1.1207376196666667,0.8922695039874036,1.0,66.67
core,5,stall_backend,12691068117,4230356039.0,3.362212859,1.1207376196666667,0.8922695039874036,1.0,66.67
cache,1,l1d_cache_refill,83740191,27913397.0,2.584422151,0.8614740503333334,1.1608010706916434,1.0,68.853
cache,1,l2d_cache_refill,140094397,46698132.333333336,2.584422151,0.8614740503333334,1.1608010706916434,1.0,68.853
cache,1,l3d_cache_refill,127017875,42339291.666666664,2.584422151,0.8614740503333334,1.1608010706916434,1.0,68.853
cache,2,l1d_cache_refill,90451466,30150488.666666668,3.477770352,1.1592567839999999,0.8626216501830711,1.0,66.552
cache,2,l2d_cache_refill,148682957,49560985.666666664,3.477770352,1.1592567839999999,0.8626216501830711,1.0,66.552
cache,2,l3d_cache_refill,119866836,39955612.0,3.477770352,1.1592567839999999,0.8626216501830711,1.0,66.552
cache,3,l1d_cache_refill,89612487,29870829.0,2.588466234,0.8628220780000001,1.158987496376976,1.0,68.263
cache,3,l2d_cache_refill,139778409,46592803.0,2.588466234,0.8628220780000001,1.158987496376976,1.0,68.263
cache,3,l3d_cache_refill,125164978,41721659.333333336,2.588466234,0.8628220780000001,1.158987496376976,1.0,68.263
cache,4,l1d_cache_refill,84095626,28031875.333333332,3.474848645,1.1582828816666666,0.8633469559362635,1.0,67.437
cache,4,l2d_cache_refill,148135883,49378627.666666664,3.474848645,1.1582828816666666,0.8633469559362635,1.0,67.437
cache,4,l3d_cache_refill,122322290,40774096.666666664,3.474848645,1.1582828816666666,0.8633469559362635,1.0,67.437
cache,5,l1d_cache_refill,88185555,29395185.0,2.591120567,0.8637068556666666,1.1578002344651221,1.0,68.027
cache,5,l2d_cache_refill,140278636,46759545.333333336,2.591120567,0.8637068556666666,1.1578002344651221,1.0,68.027
cache,5,l3d_cache_refill,122991823,40997274.333333336,2.591120567,0.8637068556666666,1.1578002344651221,1.0,68.027
memory,1,mem_access,25178404921,8392801640.333333,2.685805021,0.8952683403333334,1.1169835399604013,1.0,69.856
memory,1,bus_access,1800905662,600301887.3333334,2.685805021,0.8952683403333334,1.1169835399604013,1.0,69.856
memory,2,mem_access,27400998192,9133666064.0,3.501818393,1.1672727976666668,0.8566977676503397,1.0,67.968
memory,2,bus_access,1817399986,605799995.3333334,3.501818393,1.1672727976666668,0.8566977676503397,1.0,67.968
memory,3,mem_access,24921476244,8307158748.0,2.617841857,0.8726139523333334,1.1459821348559023,1.0,68.794
memory,3,bus_access,1797176605,599058868.3333334,2.617841857,0.8726139523333334,1.1459821348559023,1.0,68.794
memory,4,mem_access,27312131129,9104043709.666666,3.469653395,1.1565511316666666,0.8646396796646024,1.0,67.909
memory,4,bus_access,1810650721,603550240.3333334,3.469653395,1.1565511316666666,0.8646396796646024,1.0,67.909
memory,5,mem_access,24899097694,8299699231.333333,2.58026961,0.86008987,1.16266919874315,1.0,68.735
memory,5,bus_access,1792667199,597555733.0,2.58026961,0.86008987,1.16266919874315,1.0,68.735
